,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,credit_limit_bins,Customer_Age_bins,Total_Revolving_Bal_bins,Dependent_count_bins,Months_on_book_bins,Months_Inactive_12_mon_bins,Total_Relationship_Count_bins,Contacts_Count_12_mon_bins,Total_Trans_Amt_bins,Avg_Open_To_Buy_bins,Total_Amt_Chng_Q4_Q1_bins,Total_Ct_Chng_Q4_Q1_bins,Total_Trans_Ct_bins,Avg_Utilization_Ratio_bins
5472,Existing Customer,M,High School,Married,$40K - $60K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5473,Existing Customer,F,Unknown,Single,$40K - $60K,Blue,low,57 +,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5474,Existing Customer,M,College,Single,$80K - $120K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5475,Existing Customer,F,High School,Unknown,Less than $40K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5476,Existing Customer,F,High School,Single,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5477,Existing Customer,F,Doctorate,Single,Less than $40K,Blue,low,57 +,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5478,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5479,Existing Customer,F,High School,Married,Less than $40K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5480,Existing Customer,F,College,Single,Less than $40K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5481,Attrited Customer,F,High School,Single,$40K - $60K,Blue,low,26 - 42,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5482,Existing Customer,F,Unknown,Single,Less than $40K,Blue,low,57 +,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5483,Existing Customer,F,Unknown,Single,$40K - $60K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5484,Existing Customer,M,Post-Graduate,Divorced,$60K - $80K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5485,Existing Customer,M,Graduate,Single,$40K - $60K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5486,Existing Customer,F,Doctorate,Married,Unknown,Blue,low,43 - 57,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5487,Existing Customer,M,High School,Single,$80K - $120K,Silver,high,26 - 42,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
5488,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5489,Existing Customer,F,Graduate,Single,Unknown,Blue,low,26 - 42,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5490,Existing Customer,F,Graduate,Unknown,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5491,Attrited Customer,F,College,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5492,Existing Customer,M,Unknown,Married,$60K - $80K,Silver,high,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,4 - 6,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
5493,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5494,Existing Customer,M,High School,Single,$80K - $120K,Silver,high,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
5495,Existing Customer,F,Uneducated,Single,Unknown,Blue,low,43 - 57,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5496,Existing Customer,F,College,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,13 - 27,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5497,Existing Customer,F,High School,Single,Less than $40K,Blue,low,57 +,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5498,Attrited Customer,F,Unknown,Married,Unknown,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5499,Existing Customer,F,High School,Single,$40K - $60K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5500,Existing Customer,F,Unknown,Married,Unknown,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5501,Existing Customer,F,Doctorate,Married,$40K - $60K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5502,Existing Customer,M,Unknown,Divorced,$80K - $120K,Blue,mid,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5503,Attrited Customer,M,Post-Graduate,Single,$60K - $80K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5504,Existing Customer,M,College,Single,$40K - $60K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5505,Existing Customer,F,Uneducated,Single,Unknown,Blue,low,26 - 42,high,3 - 5,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5506,Existing Customer,M,High School,Married,$60K - $80K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5507,Attrited Customer,F,Doctorate,Single,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5508,Existing Customer,F,High School,Single,$40K - $60K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5509,Existing Customer,M,Uneducated,Single,$80K - $120K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5510,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5511,Existing Customer,F,High School,Married,Unknown,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5512,Existing Customer,F,Post-Graduate,Married,Less than $40K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,97 - 139,0.3 - 0.6
5513,Attrited Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
5514,Existing Customer,M,Graduate,Single,$120K +,Blue,mid,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5515,Existing Customer,M,Uneducated,Married,$80K - $120K,Gold,high,26 - 42,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
5516,Existing Customer,F,Unknown,Single,Less than $40K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5517,Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5518,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5519,Existing Customer,F,High School,Married,$40K - $60K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5520,Attrited Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5521,Existing Customer,F,College,Single,$40K - $60K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5522,Existing Customer,M,Uneducated,Single,$60K - $80K,Blue,mid,43 - 57,mid,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5523,Attrited Customer,F,High School,Married,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5524,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5525,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5526,Existing Customer,F,Graduate,Unknown,$40K - $60K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5527,Attrited Customer,F,Graduate,Unknown,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
5528,Existing Customer,M,College,Single,$60K - $80K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5529,Existing Customer,F,Graduate,Divorced,Unknown,Blue,high,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
5530,Attrited Customer,F,Post-Graduate,Single,Less than $40K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5531,Existing Customer,F,Unknown,Single,Less than $40K,Blue,low,43 - 57,mid,3 - 5,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5532,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,mid,43 - 57,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5533,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,26 - 42,high,0 - 2,13 - 27,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5534,Existing Customer,F,High School,Divorced,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5535,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5536,Existing Customer,F,High School,Single,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5537,Attrited Customer,F,College,Unknown,Unknown,Blue,low,26 - 42,mid,3 - 5,13 - 27,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
5538,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5539,Existing Customer,M,College,Single,$40K - $60K,Blue,low,43 - 57,low,3 - 5,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5540,Attrited Customer,M,Graduate,Single,$120K +,Blue,high,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
5541,Attrited Customer,F,College,Single,Unknown,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
5542,Attrited Customer,F,Graduate,Divorced,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,4 - 6,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5543,Existing Customer,F,Doctorate,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5544,Existing Customer,F,Uneducated,Divorced,Less than $40K,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5545,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5546,Existing Customer,F,High School,Married,Unknown,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5547,Attrited Customer,F,College,Married,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5548,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5549,Attrited Customer,F,Unknown,Single,Unknown,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5550,Existing Customer,F,Graduate,Single,Unknown,Blue,mid,57 +,low,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5551,Existing Customer,F,Unknown,Single,Less than $40K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5552,Existing Customer,F,High School,Single,Less than $40K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
5553,Attrited Customer,M,High School,Single,$60K - $80K,Blue,mid,57 +,low,0 - 2,43 - 56,1 - 3,1 - 3,4 - 6,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
5554,Existing Customer,F,College,Married,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5555,Existing Customer,M,Post-Graduate,Divorced,$40K - $60K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5556,Existing Customer,M,Doctorate,Unknown,$60K - $80K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5557,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5558,Existing Customer,M,College,Single,$120K +,Blue,high,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
5559,Attrited Customer,F,Doctorate,Married,Less than $40K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5560,Existing Customer,M,College,Single,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5561,Existing Customer,M,College,Married,$60K - $80K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5562,Attrited Customer,F,Unknown,Married,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5563,Existing Customer,F,Uneducated,Divorced,Less than $40K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5564,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,mid,57 +,high,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5565,Existing Customer,M,Uneducated,Single,$60K - $80K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5566,Attrited Customer,M,Unknown,Married,$60K - $80K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5567,Existing Customer,F,Uneducated,Single,$40K - $60K,Blue,low,26 - 42,mid,3 - 5,13 - 27,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5568,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5569,Existing Customer,M,Post-Graduate,Unknown,$120K +,Blue,mid,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5570,Existing Customer,F,Unknown,Single,$40K - $60K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5571,Attrited Customer,M,Graduate,Married,$80K - $120K,Blue,mid,43 - 57,high,3 - 5,43 - 56,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
5572,Existing Customer,F,Unknown,Single,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5573,Existing Customer,F,Unknown,Single,Less than $40K,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5574,Existing Customer,F,High School,Married,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5575,Existing Customer,F,Unknown,Single,Unknown,Blue,low,43 - 57,low,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5576,Existing Customer,M,Graduate,Single,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5577,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5578,Existing Customer,F,Post-Graduate,Divorced,Unknown,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5579,Existing Customer,M,College,Married,$80K - $120K,Blue,mid,43 - 57,low,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5580,Existing Customer,M,College,Married,$120K +,Blue,low,43 - 57,low,3 - 5,43 - 56,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5581,Existing Customer,F,High School,Married,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5582,Existing Customer,F,Unknown,Married,$40K - $60K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5583,Existing Customer,M,College,Married,$60K - $80K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5584,Existing Customer,F,High School,Married,$40K - $60K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5585,Existing Customer,F,Doctorate,Single,Unknown,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5586,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,mid,43 - 57,mid,0 - 2,28 - 42,4 - 6,4 ,4 - 6,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5587,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5588,Attrited Customer,F,Doctorate,Divorced,Unknown,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5589,Existing Customer,F,Uneducated,Single,Unknown,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5590,Existing Customer,F,Post-Graduate,Married,Unknown,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5591,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5592,Attrited Customer,F,Uneducated,Married,Unknown,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5593,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5594,Existing Customer,F,Doctorate,Single,Less than $40K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5595,Existing Customer,F,Graduate,Married,Unknown,Blue,mid,43 - 57,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
5596,Existing Customer,F,College,Single,Less than $40K,Blue,low,26 - 42,high,3 - 5,13 - 27,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5597,Existing Customer,M,Post-Graduate,Single,$60K - $80K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5598,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,4 - 6,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5599,Attrited Customer,F,Doctorate,Single,Unknown,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
5600,Existing Customer,F,High School,Single,Less than $40K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
5601,Existing Customer,F,Unknown,Single,Unknown,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
5602,Attrited Customer,F,Graduate,Married,$40K - $60K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
5603,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,mid,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
